"Reference","Qty","Value","Part number","Manufacturer","Description"
"C1,C3,C4,C5,C11","5","100n","06033C104K4T4A","Kyocera AVX","C 100n 10% 25V X7R 0603 06033C104K4T4A AVX"
"C2","1","22u","TAJC226K010TNJ","Kyocera AVX","C 22u 10% 10V TANTALUM ESR=1.8R 2312 TAJC226K010TNJ AVX"
"C6,C7","2","8.2n","CGA3E1C0G2A822J080AE","TDK","C 8.2n 5% 100V C0G/NP0 0603 CGA3E1C0G2A822J080AE TDK"
"C10","1","2.2n","GCM1885C1J222JA16D","Murata","C 2.2n 5% 63V C0G/NP0 0603 GCM1885C1J222JA16D Murata"
"D1","1","LS_T670","LS_T670","OSRAM","Light Emitting Diode LED"
"FB1,FB2,FB3,FB4","4","BLM18AG102BH1D","BLM18AG102BH1D","Murata","FB 1000OHM 450MA 0.5OHM 0603 BLM18AG102BH1D Murata"
"FW1","1","FW","HEX file","","FW revision"
"PCB1","1","PCB","260122","Aisler","PCB part number / revision"
"R1","1","0R","CRCW06030000Z0EA","Vishay","R 0R 0% 0ppm/K 0603 CRCW06030000Z0EA Vishay"
"R2,R7","2","100R","CRCW0603100RFKEAC","Vishay","R 100R 1% 100ppm/K 0603 CRCW0603100RFKEAC Vishay"
"R3,R4","2","2.2K","MCT06030C2201FP500","Vishay","R 2.2K 1% 50ppm/K 0603 MCT06030C2201FP500 Vishay"
"R5,R10,R11","3","10K","MCT06030C1002FP500","Vishay","R 10K 1% 50ppm/K 0603 R_MCT06030C1002FP500 Vishay"
"R6","1","110K","MCT06030C1103FP500","Vishay","R 110K 1% 50ppm/K 0603 MCT06030C1103FP500 Vishay"
"R8,R9,R12","3","1.2K","MCT06030C1201FP500","Vishay","R 1.2K 1% 50ppm/K 0603 MCT06030C1201FP500 Vishay"
"U1","1","TLE42662GSV33HTMA2","TLE42662GSV33HTMA2","Infineon","3.3V, Low drop voltage regulator, 150 mA current capability, Very low current consumption, Low-drop voltage, Overtemperature protection, Reverse polarity proof"
"U2","1","PIC12F1572-I/SN","PIC12F1572-I/SN","Microchip","PIC12F1572, 2048W FLASH, 256B SRAM, SOIC-8"
"Y1","1","O 16,0-JO32-B-1V3-1-T1-LF","O 16,0-JO32-B-1V3-1-T1-LF","Jauch","16 MHz Oscillator JO32, 3.3 V, SMD Oscillator with Stop Function, +/- 50 ppm, -40 °C - +85 °C, 3.2 x 2.5 mm, Seam sealed ceramic/metal package"
